	Nome Interno do Anúncio	Canal	Tipo de Acomodação	Porte	Atendecência Reserva (dias)	Data de Criação	Chegada	Data de checkout	Número de Noites	Adults Count	Children Count	Infants Count	Total de Hóspedes	Total da Reserva	Total da reserva por hospede	Total da reserva por noite	Valor por Noite	Ganhos	Ganho por hospede	Ganho por Noite	Comissão Plataforma	Bairro	Status da Reserva	OTA's external code
463	Ipanema à 200 m da praia	Airbnb	Quarto	Quarto	2	2023-06-19	2023-06-21	2023-06-26	5	1	0	0	1	627.07	627.07	125.41	125.41	533.01	533.01	106.6	94.06	Ipanema	Confirmada	HMCY5ZB5DW
464	300 metros da praia em Ipanema.	Airbnb	Quarto	Quarto	2	2023-06-18	2023-06-20	2023-06-23	3	1	0	0	1	421.86	421.86	140.62	140.62	358.58	358.58	119.53	63.28	Ipanema	Confirmada	HMEZFWJTBP
465	Charmoso Apartamento no Leblon!	Airbnb	Espaço Inteiro	Pequeno	1	2023-06-18	2023-06-19	2023-06-28	9	1	0	0	1	2645.08	2645.08	293.9	293.9	2248.32	2248.32	249.81	396.76	Leblon	Confirmada	HMSJPENA9S
466	Ipanema à 300 m da Praia	Airbnb	Quarto	Quarto	1	2023-06-17	2023-06-18	2023-07-01	13	1	0	0	1	1447.93	1447.93	111.38	111.38	1230.74	1230.74	94.67	217.19	Ipanema	Confirmada	HMYTYTMP5E
467	300 metros da praia em Ipanema.	Airbnb	Quarto	Quarto	1	2023-06-16	2023-06-17	2023-06-20	3	1	0	0	1	421.87	421.87	140.62	140.62	358.59	358.59	119.53	63.28	Ipanema	Confirmada	HMXXFKNENW
468	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	6	2023-06-11	2023-06-17	2023-06-19	2	2	0	0	2	729.68	364.84	364.84	364.84	620.23	310.12	310.12	109.45	Leblon	Confirmada	HMDJKBWQ9A
469	Quarto solteiro Ipanema	Airbnb	Quarto	Quarto	0	2023-06-16	2023-06-16	2023-06-19	3	1	0	0	1	410.42	410.42	136.81	136.81	348.86	348.86	116.29	61.56	Ipanema	Confirmada	HMFNWYB5HR
470	Suíte em Ipanema 300m da praia	Airbnb	Quarto	Quarto	3	2023-06-12	2023-06-15	2023-06-23	8	2	0	0	2	1315.13	657.565	164.39	164.39	1117.86	558.93	139.73	197.27	Ipanema	Confirmada	HM44SS2AE3
471	Apartamento Leblon Vista Mar!	Airbnb	Espaço Inteiro	Pequeno	7	2023-06-07	2023-06-14	2023-06-21	7	2	0	0	2	2318.55	1159.275	331.22	331.22	1970.77	985.38	281.54	347.78	Leblon	Confirmada	HM9HT9CDA9
472	"Copanema linda kitnet
300 m da praia e Arpoador"	Airbnb	Espaço Inteiro	Pequeno	8	2023-06-06	2023-06-14	2023-06-21	7	2	0	0	2	1199.98	599.99	171.43	171.43	1019.98	509.99	145.71	180.0	Ipanema	Confirmada	HMEKBCE24S
473	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	80	2023-08-21	2023-11-09	2023-11-12	3	7	0	0	7	2217.58	316.79714285714283	739.19	739.19	1884.94	269.28	628.31	332.64	Ipanema	Confirmada	HM4D4E2RBD
474	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	57	2023-09-12	2023-11-08	2023-11-12	4	5	0	0	5	2579.25	515.85	644.81	644.81	2192.36	438.47	548.09	386.89	Ipanema	Confirmada	HMM93F8HFB
475	Apê Amplo em Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	85	2023-08-15	2023-11-08	2023-11-12	4	7	0	0	7	2069.95	295.70714285714286	517.49	517.49	1759.46	251.35	439.86	310.49	Ipanema	Confirmada	HM2NWWCYES
476	Apartamento Leblon Vista Mar!	Airbnb	Espaço Inteiro	Pequeno	12	2023-10-26	2023-11-07	2023-11-14	7	2	0	0	2	3218.79	1609.395	459.83	459.83	2735.97	1367.98	390.85	482.82	Leblon	Confirmada	HMQ4CB4DRE
477	Studio Praia Ipanema	Airbnb	Espaço Inteiro	Pequeno	70	2023-08-29	2023-11-07	2023-11-13	6	1	0	0	1	1834.8	1834.8	305.8	305.8	1559.58	1559.58	259.93	275.22	Ipanema	Confirmada	HMTDS5NXDR
479	Ipanema Studio 300 m da praia	Airbnb	Espaço Inteiro	Pequeno	2	2023-11-03	2023-11-05	2023-11-09	4	1	0	0	1	1094.19	1094.19	273.55	273.55	930.06	930.06	232.52	164.13	Ipanema	Confirmada	HMZTQDNPPY
480	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	32	2023-10-04	2023-11-05	2023-11-09	4	8	0	0	8	1893.26	236.6575	473.32	473.32	1609.27	201.16	402.32	283.99	Ipanema	Confirmada	HMX8XR92MJ
483	Apê Amplo em Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	59	2023-09-05	2023-11-03	2023-11-06	3	6	0	0	6	2769.04	461.50666666666666	923.01	923.01	2353.68	392.28	784.56	415.36	Ipanema	Confirmada	HM9EREZ32D
485	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	25	2023-10-08	2023-11-02	2023-11-07	5	6	0	0	6	4764.74	794.1233333333333	952.95	952.95	4050.03	675.0	810.01	714.71	Ipanema	Confirmada	HM5SDQ2BXM
487	Ipanema Studio 300 m da praia	Airbnb	Espaço Inteiro	Pequeno	59	2023-09-04	2023-11-02	2023-11-05	3	2	0	0	2	1065.35	532.675	355.12	355.12	905.55	452.78	301.85	159.8	Ipanema	Confirmada	HMFXEFQR4F
488	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	80	2023-08-14	2023-11-02	2023-11-05	3	2	0	0	2	1193.67	596.835	397.89	397.89	1014.62	507.31	338.21	179.05	Leblon	Confirmada	HM8299REZ4
